id,Week,Day,Match,Game,Blue,Red,Winner,blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5
1,1,1,1,1,AHQ Esport Club,Bazaar Gaming,AHQ Esport Club,Elsu,Riktor,Lindis,Violet,Florentino,TeeMee,Liliana,Rourke,Valhein,Quillen,Sephera,Kriknak,Maloch,Veres,Tulen,Xeniel,Murad,Baldum
2,1,1,1,2,AHQ Esport Club,Bazaar Gaming,AHQ Esport Club,Quillen,Sephera,Tulen,The Joker,Riktor,Y'bneth,Tel'Annas,Raz,Nakroth,Elsu,Florentino,Ryoma,Kriknak,Omen,TeeMee,Violet,Liliana,Maloch
3,1,1,2,1,Toyota Diamond Cobra,Workpoint Fighting Fish,Toyota Diamond Cobra,Veres,Florentino,Omen,Raz,Riktor,Liliana,Kriknak,Xeniel,Valhein,Sephera,Annette,Y'bneth,Mina,Elsu,TeeMee,Zill,Aleister,Superman
4,1,1,2,2,Workpoint Fighting Fish,Toyota Diamond Cobra,Workpoint Fighting Fish,Annette,Riktor,Xeniel,Arum,Elsu,Alice,Liliana,Nakroth,Omen,Florentino,Veres,Ryoma,Rourke,Sephera,TeeMee,Kriknak,Valhein,Roxie
5,1,1,2,3,Workpoint Fighting Fish,Toyota Diamond Cobra,Toyota Diamond Cobra,Annette,Riktor,Mina,Lindis,Elsu,Tulen,TeeMee,Marja,Ryoma,Florentino,Alice,Omen,Xeniel,Veres,Sephera,Superman,Liliana,Kriknak
6,1,1,3,1,Mega Ignition,Buriram United,Buriram United,Florentino,Elsu,Valhein,Aleister,Omen,Liliana,Zill,Tel'Annas,Annette,Sephera,Quillen,Tulen,Ilumia,Kriknak,Raz,TeeMee,Riktor,Wisp
7,1,1,3,2,Buriram United,Mega Ignition,Buriram United,TeeMee,Riktor,Aleister,Tulen,Baldum,Sephera,Kriknak,Marja,Tel'Annas,Florentino,Elsu,Veres,Y'bneth,Liliana,Omen,Valhein,Quillen,Annette
8,1,1,4,1,Evos.Debut,RRQ Black Forest,Evos.Debut,Quillen,Valhein,TeeMee,The Joker,Annette,Tel'Annas,Omen,Aleister,Zill,Florentino,Elsu,Nakroth,Tulen,Sephera,Riktor,Kriknak,Y'bneth,Maloch
9,1,1,4,2,Evos.Debut,RRQ Black Forest,Evos.Debut,Quillen,Valhein,TeeMee,Sephera,Annette,Liliana,Riktor,Roxie,Violet,Elsu,Florentino,The Joker,Tulen,Omen,Tel'Annas,Kriknak,Raz,Y'bneth
10,1,1,5,1,Buriram United,Toyota Diamond Cobra,Toyota Diamond Cobra,Riktor,Lindis,The Joker,Superman,Quillen,Tel'Annas,Veres,Raz,Arum,Elsu,Florentino,Y'bneth,Baldum,Sephera,TeeMee,Kriknak,Xeniel,Yorn
